PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,LAB,SAMPLE_TYPE,SAMPLE_ID,NOT_COLLECTED,MATRIX,BATCH_ID,ANALYTE,RESULT,RESULT_UNITS,MDL,RL,QA_FLAG,NARS_FLAG,DATE_RECEIVED,DATE_ANALYZED,LAB_SAMPLE_ID,LAB_COMMENT
8/13/2024,2020290,NLA_MI-10160,NLA22_MI-10030,1,6/1/2022,MI,GreenWater,MICZ,200804,,WATER,220712-1,CYLSPER,,ug/L,0.05,0.1,ND,ND,6/30/2022,7/12/2022,29-200804,
8/13/2024,2020291,NLA_TX-10224,NLA22_TX-10010,1,6/1/2022,TX,GreenWater,MICZ,202744,,WATER,220712-1,CYLSPER,0.49,ug/L,0.05,0.1,,,6/30/2022,7/12/2022,23-202744,
8/13/2024,2020291,NLA_TX-10224,NLA22_TX-10010,1,6/1/2022,TX,GreenWater,MICZ,202744,,WATER,220711-1,MICX,,ug/L,0.1,0.15,ND,ND,6/30/2022,7/11/2022,23-202744,
8/13/2024,2020293,NLA_KY-10045,NLA22_KY-10002,1,6/1/2022,KY,GreenWater,MICZ,201604,,WATER,220712-1,CYLSPER,,ug/L,0.05,0.1,ND,ND,6/30/2022,7/12/2022,14-201604,
8/13/2024,2020293,NLA_KY-10045,NLA22_KY-10002,1,6/1/2022,KY,GreenWater,MICZ,201604,,WATER,220711-1,MICX,,ug/L,0.1,0.15,ND,ND,6/30/2022,7/11/2022,14-201604,
8/13/2024,2020294,NLA_NE-10019,NES22-10138,1,6/2/2022,NE,GreenWater,MICZ,200204,,WATER,220719-1,MICX,0.27,ug/L,0.1,0.15,,,7/13/2022,7/19/2022,1-200204,
8/13/2024,2020294,NLA_NE-10019,NES22-10138,1,6/2/2022,NE,GreenWater,MICZ,200204,,WATER,220721-1,CYLSPER,,ug/L,0.05,0.1,ND,ND,7/13/2022,7/21/2022,1-200204,
8/13/2024,2020295,NLA_TX-10351,NLA22_TX-10133,1,6/2/2022,TX,GreenWater,MICZ,208024,,WATER,220711-1,MICX,0.5,ug/L,0.1,0.15,,,6/30/2022,7/11/2022,24-208024,
8/13/2024,2020295,NLA_TX-10351,NLA22_TX-10133,1,6/2/2022,TX,GreenWater,MICZ,208024,,WATER,220712-1,CYLSPER,,ug/L,0.05,0.1,ND,ND,6/30/2022,7/12/2022,24-208024,
8/13/2024,2020296,NLA_VA-10088,NLA22_VA-10027,1,6/2/2022,VA,GreenWater,MICZ,205684,,WATER,220712-1,CYLSPER,0.14,ug/L,0.05,0.1,,,6/30/2022,7/12/2022,30-205684,
8/13/2024,2020296,NLA_VA-10088,NLA22_VA-10027,1,6/2/2022,VA,GreenWater,MICZ,205684,,WATER,220711-1,MICX,,ug/L,0.1,0.15,ND,ND,6/30/2022,7/11/2022,30-205684,
8/13/2024,2020297,NLA_IA-10088,NLA22_IA-10001,1,6/2/2022,IA,GreenWater,MICZ,200904,,WATER,220711-1,MICX,,ug/L,0.1,0.15,ND,ND,6/30/2022,7/11/2022,20-200904,
8/13/2024,2020297,NLA_IA-10088,NLA22_IA-10001,1,6/2/2022,IA,GreenWater,MICZ,200904,,WATER,220712-1,CYLSPER,,ug/L,0.05,0.1,ND,ND,6/30/2022,7/12/2022,20-200904,
8/13/2024,2020298,NLA_LA-10023,NES22-10112,1,6/2/2022,LA,GreenWater,MICZ,216284,,WATER,220712-1,CYLSPER,,ug/L,0.05,0.1,ND,ND,6/30/2022,7/12/2022,16-216284,
8/13/2024,2020298,NLA_LA-10023,NES22-10112,1,6/2/2022,LA,GreenWater,MICZ,216284,,WATER,220711-1,MICX,,ug/L,0.1,0.15,ND,ND,6/30/2022,7/11/2022,16-216284,
8/13/2024,2020300,NLA_MI-10260,NLA22_MI-10114,1,6/3/2022,MI,GreenWater,MICZ,208764,,WATER,220712-1,CYLSPER,,ug/L,0.05,0.1,ND,ND,6/30/2022,7/12/2022,31-208764,
8/13/2024,2020300,NLA_MI-10260,NLA22_MI-10114,1,6/3/2022,MI,GreenWater,MICZ,208764,,WATER,220711-1,MICX,,ug/L,0.1,0.15,ND,ND,6/30/2022,7/11/2022,31-208764,
8/13/2024,2020301,NLA_WY-10145,NLA22_WY-10047,1,6/13/2022,WY,GreenWater,MICZ,209024,,WATER,220712-2,CYLSPER,,ug/L,0.05,0.1,ND,ND,6/30/2022,7/12/2022,30-209024,
8/13/2024,2020301,NLA_WY-10145,NLA22_WY-10047,1,6/13/2022,WY,GreenWater,MICZ,209024,,WATER,220711-2,MICX,,ug/L,0.1,0.15,ND,ND,6/30/2022,7/11/2022,30-209024,
